名称,カナ,画像ファイル,区,郵便番号,所在地,緯度,経度,電話番号,URL,設置主体,定員,対象年齢[受入],対象年齢[最終],休園日,開所時間,閉所時間,入所に必要な認定区分,延長保育の有無,延長保育[朝の開始時間],延長保育[夕方の終了時間],一時預かり保育,病児・病後児保育,学童保育の有無,備考,入園料等,保育料
半田山こもれび保育園,ハンダヤマコモレビホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1966/handayamakomorebi.jpg,東区,431-3125,浜松市東区半田山三丁目53-5,34.774203,137.736978,(053)589-4646,https://www.komorebi-hoiku.net/,ユービーサポート（株）,19人,産休明け,3歳,年中無休,7:15,18:15,,,,,一時預かり保育,,,,,施設にお問い合わせください
キッズハウスなかだ,キッズハウスナカダ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1967/kidshousenakada.jpg,東区,435-0057,浜松市東区中田町315-5,34.734921,137.756157,(053)424-8116,http://www.kidshouse-genkiyume.com/,（同）元気いっぱい夢いっぱい,12人,生後6か月,2歳児,日・祝日、年末年始,7:30,18:30,,,,,一時預かり保育,,,,,"年齢・保育時間による
午前7時30分～午後6時30分（11時間利用）
0歳児 36,000円 / 1.2歳児 35,000円
----
午前8時30分～午後4時30分（8時間利用）
0歳児 31,000円 / 1.2歳児 30,000円
----
午前8時30分～午後2時30分/午前9時30分～午後3時30分（6時間利用）
0歳児 20,000円 / 1.2歳児 15,000円 "
ｎｉｎｏ保育園,ニノホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/2212/kg_nino.JPG,中区,430-0856,浜松市中区中島三丁目25-3,34.699889,137.74983,(053)582-6100,https://ninohoikuenn.wixsite.com/ninohoikuenn,(株)milu,18人,生後6か月,2歳児,年中無休　土日祝は希望保育,7:00,20:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
にこにこ保育園,ニコニコホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/2146/nikoniko.jpg,中区,430-0907,浜松市中区高林四丁目3-10,34.72813,137.733447,(053)522-8787,http://niconico-hoikuen.kyorindo.co.jp/,株式会社杏林堂薬局グループホールディングス,12人,産休明け,3歳,日曜日・年末年始,8:00,19:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
出雲殿グループ保育園ちゅうおう,イズモデングループホイクエンチュウオウ,,中区,430-0929,浜松市中区中央一丁目16-9 1階,34.709308,137.735906,(053)488-5611,,株式会社出雲殿,19人,生後2か月,小学校就学前まで,年中無休,7:30,19:00,,,,,,,,,,施設にお問い合わせください
ぬくもりのおうちママサポート保育　板屋町園,ヌクモリノオウチママサポート,,中区,430-0928,浜松市中区板屋町101-10　伊藤ビル1階,34.707929,137.733767,(053)415-8821,https://www.nukumorinoouchi.com/school/itayamachi/,ぬくもりのおうち保育（株）,19人,生後6か月,2歳児,日曜日・祝日・年末年始,7:30,18:30,,,,,一時預かり保育,,,,,施設にお問い合わせください
ひろば保育園　ほそじま,ヒロバホイクエンホソジマ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/2211/kg_hosojima.JPG,中区,435-0045,浜松市中区細島町11-3,34.723575,137.751327,(053)467-6789,http://hiroba-hoikuen.co.jp/,株式会社ひろば,12人,生後3か月,3歳児,日曜・祝日・年末年始,7:30,18:30,,,,,一時預かり保育,,,,,施設にお問い合わせください
ハミングバード保育園,ハミングバードホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/2081/hummingbird.png,南区,435-0022,浜松市南区鶴見町447,34.707451,137.786295,(053)425-8810,,株式会社エイトハンドレッド,12人,生後9か月,3歳,日曜日・祝日・年末年始,7:30,18:30,,,,,一時預かり保育,,,土曜日の保育時間は午前9時～午後5時,,"年齢・保育時間による（5時間～11時間で2時間刻みで設定）
・0歳児 28,000円～45,000円
・1歳児 26,000円～43,000円
・2歳児 21,000円～35,000円
消耗品費 2,000円/月
その他、保険料・入園準備品等"
Papilles(パピーユ）保育園,パピーユホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/2210/kg_papilles.jpg,中区,433-8122,浜松市中区上島三丁目27－2,34.740537,137.747543,(053)443-7755,https://les-papilles.co.jp/,株式会社Les Papilles,12人,生後3か月,3歳,日曜日・祝日・年末年始,7:00,20:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
ヒーローズ保育園　浜松東,ヒーローズホイクエンハママツヒガシ,,東区,430-0802,浜松市東区将監町23-3　ユトリロ将監1階,34.7148484,137.7559916,(053)544-6062,https://heros-kids.com/,株式会社ヒーローズホールディングス,40人,生後3か月,2歳児,なし,7:00,20:00,,,,,,病児保育,,病児保育は在園児の体調不良時対応型,,施設にお問い合わせください
駅南ナーサリー,エキナンナーサリー,,中区,430-0923,浜松市中区北寺島町160-1,34.701742,137.740995,(053)401-2552,http://enursery.asokagakuen.jp/,学校法人無憂樹学園,19人 ,満1歳,2歳児,土・日・祝日,7:30,18:30,,,,,一時預かり保育,,,一時保育の対象年齢は、満1歳～5歳,,施設に問い合わせ下さい。
おとのいえ,オトノイエ,,中区,430-0904,浜松市中区中沢町10-1,34.7189109,137.729539,(053)479-1650,,ヤマハ株式会社,50人,産休明け,小学校就学前まで,土・日・祝日,7:00,20:00,,,,,,,,,,施設にお問い合わせください
いろにこ保育園,イロニコホイクエン,,中区,433-8113,浜松市中区小豆餅三丁目23-1,34.755435,137.72822,(053)414-1625,https://ironico-kids.com/,特定非営利活動法人　みんなの家,19人,生後4か月,2歳児,日祝日 年末年始,7:00,18:00,,あり,,19:00,一時預かり保育,病後児保育,,,,施設にお問い合わせください
浜名愛ノ宮保育園,ハマナアイノミヤホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/3083/hamanaainomiya.jpg,浜北区,434-0042,小松465-3,34.790777,137.77727,(053)585-7311,https://www.aino-miya.co.jp/,株式会社　愛ﾉ宮,124人,生後3か月,小学校就学前まで,年末年始,7:00,22:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
パンダ保育園,パンダホイクエン,,中区,433-8123,浜松市中区幸二丁目44-13,34.736824,137.731486,(053)488-9180,https://amie-group.shopinfo.jp/pages/3127533/static,株式会社LIO,15人,生後6か月,3歳,8月13～15日、12月29～1月3日,8:00,18:00,,,,,一時預かり保育,,,,,施設にお問い合わせください 
託児所るれいるーむ,タクジショルレイルーム,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1962/takujisyorureirumu.jpg,中区,430-0923,浜松市中区北寺島町211-8 ヴェルデキタテラ1階,34.703836,137.741256,(053)489-9221,http://reiroom.toukaibikou.co.jp,(株)東海美工,23人,生後2か月,小学校就学前まで,日曜日・祝日・年末年始,7:30,20:30,,,,,一時預かり保育,,,,,施設にお問い合わせください
企業主導型保育園ふわふわ,キギョウシュドウガタホイクエンフワフワ,,浜北区,434-0038,浜松市浜北区貴布祢418-3,34.795615,137.786589,(053)544-6555,https://www.kitahamagakuen.jp/fuwafuwa,学校法人北浜学園,12人,,,土・日・祝日、年末年始,7:00,19:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
ぬくもりのおうちママサポート保育　浜松園,ヌクモリノオウチママサポートホイクハママツエン,,中区,433-8117,浜松市中区高丘東四丁目38-22,34.760876,137.710733,(053)424-5955,http://www.nukumorinoouchi.com/school/hamamatsu/,ぬくもりのおうち保育（株）,19名,生後6か月,2歳児,日曜・祝日,7:30,18:30,,あり,,19:30,一時預かり保育,,,,,施設にお問い合わせください
遠鉄グループ保育園　かみじま,エンテツグループホイクエンカミジマ,,中区,433-8122,浜松市中区上島四丁目28-19,34.7435508,137.7443956,(053)454-2301,http://entetsu-hoikuen.com/,遠州鉄道（株）人事部 保育園事務局,40人,産休明け,小学校就学前まで,年中無休,7:00,20:30,,,,,,,,,,"35,000円"
都市型保育園ポポラー浜松プラザフレスポ園,トシガタホイクエンポポラー,,東区,435-0048,浜松市東区上西町1020-1　浜松プラザフレスポ2階,34.725595,137.764242,(053)467-6060,https://rabi-popo.com/city_popolar/area/detail/post_59.html,（株）タスク・フォース,40人,,,,7:30,20:30,,,,,一時預かり保育,,,,,施設にお問い合わせください
キッズハウスおおかば,キッズハウスオオカバ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1964/kidshouseokaba.jpg,東区,435-0014,浜松市東区大蒲町120-1,34.715352,137.769109,(053)463-6310,http://www.kidshouse-genkiyume.com/, （同）元気いっぱい夢いっぱい,19人 ,生後6か月,2歳児,日曜・祝日・年末年始,7:30,18:30,,,,,一時預かり保育,,,,,"年齢・保育時間による
午前7時30分～午後6時30分（11時間利用）
0歳児 36,000円 / 1.2歳児 35,000円
----
午前8時30分～午後4時30分（8時間利用）
0歳児 31,000円 / 1.2歳児 30,000円
----
午前8時30分～午後2時30分/午前9時30分～午後3時30分
（6時間利用）
0歳児 20,000円 / 1.2歳児 15,000円 "
ひだまり保育園,ヒダマリホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1963/hidamari.JPG,東区,435-0011,浜松市東区国吉町339-2,34.721242,137.796464,(053)453-4560,https://www.816t.jp/hidamari/,セキスイハイム東海（株）,12人,産休明け,3歳,年末年始,8:00,19:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
遠鉄グループ保育園かんざんじ,エンテツグループホイクエンカンザンジ,,西区,431-1209,浜松市西区舘山寺町2003-2 S棟,34.7626,137.614052,(053)454-2301,http://entetsu-hoikuen.com/,遠州鉄道（株）,19人,産休明け,小学校就学前まで,年中無休,6:00,22:30,,,,,,,,,," 35,000円"
てんとうむし東山保育園,テントウムシヒガシヤマホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1968/tentomushihigashiyama.JPG,西区,431-1102,浜松市西区大山町2957-1,34.773275,137.681197,(053)401-3011,, （福）慶成会,60人,産休明け,小学校就学前まで,日曜日,7:00,18:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
保育所　きこりのおうち,ホイクショキコリノオウチ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1959/kikorinoouchi.jpg,中区,432-8034,浜松市中区塩町57,34.701313,137.728651,(053)401-1661,https://www.kikori-no-ouchi.com/,（同）きこりのおうち,17人,生後10か月,2歳,日曜・祝日,7:30,18:30,,,,,一時預かり保育,,,,,施設にお問い合わせください
みみ・あんふぁん　べべ,ミミアンファンベベ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1969/19_mimianfan.JPG,中区,430-0906,浜松市中区住吉二丁目32-3　2階,34.731059,137.724151,(053)475-6380,http://mimi-anfan.com/,合同会社みみ・あんふぁん,13人,生後3か月,2歳児,土曜・日曜・祝日,7:30,18:30,,,,,一時預かり保育,,,,,施設にお問い合わせください
きらきら保育園,キラキラホイクエン,,東区,435-0048,浜松市東区上西町56-12,34.723123,137.758196,(053)424-7924,https://kirakirahoiku.com,(株)Beauty Story,19人,生後6か月,3歳,日、年末年始,7:30,20:00,,,,,一時預かり保育,病後児保育,,,,施設にお問い合わせください
ヒーローズ保育園　住吉,ヒーローズホイクエンスミヨシ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1961/purekids.JPG,中区,430-0906,浜松市中区住吉五丁目12-7,34.734905,137.729458,(053)474-8511,https://heros-kids.com/sumiyoshi/,合同会社ちゃいるど,19人,生後3か月,2歳児,なし,7:00,20:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
nursery こりす,ナーサリーコリス,,北区,433-8103,浜松市北区豊岡町416-4,34.792233,137.728584,(053)401-0740,,学校法人空華学園,12人,生後6か月,2歳,日曜日・祝日・年末年始,7:00,19:00,,,午前7時～午後6時（土曜）,,,,,,,施設にお問い合わせください
ひろば保育園　ありたま,ヒロバホイクエンアリタマ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/3082/hirobahoikuenaritama.jpg,東区,431-3122,浜松市東区有玉南町1120,34.755281,137.745636,(053)432-6622,,株式会社ひろば,12人,生後3か月,3歳,日曜・祝日・年末年始,7:30,18:30,,,,,一時預かり保育,,,,,施設にお問い合わせください
キッズハウスもとしろ,キッズハウスモトシロ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1960/kidshousemotoshiro.jpg,中区,430-0946,浜松市中区元城町219-21　101号室,34.7097346,137.7277868,(053)401-0180,http://www.kidshouse-genkiyume.com/,（同）元気いっぱい夢いっぱい,12人,生後6か月,2歳児,日・祝日、年末年始,7:30,18:30,,,,,一時預かり保育,,,,,"年齢・保育時間による
午前7時30分～午後6時30分（11時間利用）
0歳児 36,000円 / 1.2歳児 35,000円
----
午前8時30分～午後4時30分（8時間利用）
0歳児 31,000円 / 1.2歳児 30,000円
----
午前8時30分～午後2時30分/午前9時30分～午後3時30分（6時間利用）
0歳児 20,000円 / 1.2歳児 15,000円 "
遠鉄グループ保育園　さなるだい,エンテツグループホイクエンサナルダイ,,中区,432-8021,浜松市中区佐鳴台四丁目9-21,34.70749,137.700257,(053)454-2301,http://entetsu-hoikuen.com/information/,遠州鉄道（株）,40人,産休明け,小学校就学前まで,年中無休,7:00,20:30,,,,,,,,,," 35,000円"
はままつ竹の子保育園,ハママツタケノコホイクエン,,中区,432-8041,浜松市中区菅原町9-31,34.699594,137.725657,(053)543-7733,https://hoikuen-takenoko.com/,株式会社呉竹荘,15人,生後3か月,2歳児,年末年始,7:30,19:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
さんくすキッズ保育園,サンクスキッズホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/1965/thankskids.jpg,東区,435-0006,浜松市東区下石田町1782-1　伊藤ビル1階,34.736978,137.788923,(053)466-1203,https://sankusukids.hamazo.tv/,（株）共立スタッフバンク,12人,産休明け,2歳児,日曜・祝日（※祝日は保育実施の場合もあり）,7:00,18:00,,,,,,,,,,施設にお問い合わせください
étoile(エトワール) 保育園,エトワールホイクエン,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/2822/etoile_R.jpg,浜北区,434-0035,浜松市浜北区寺島3270-7,34.782893,137.788604,(053)582-6444,https://les-papilles.co.jp/,株式会社Les Papilles,12人,生後3か月,3歳,年末年始,7:00,20:00,,,,,一時預かり保育,,,,,施設にお問い合わせください
医療法人社団誠心会 浜北さくら台病院保育施設,イリョウホウジンシャダンセイシンカイハマキタサクラダイビョウインホイクシセツ,https://www.hamamatsu-pippi.net/_admin/cms/embedded_file/2147/sakuradai.jpg,浜北区,434-0006,浜松市浜北区四大地9-68,34.838081,137.759485,(053)582-2311,http://www.sakuradai.or.jp/,医療法人社団誠心会 浜北さくら台病院,12人,生後9か月,3歳,日曜（※病院スケジュールによる）,8:15,17:15,,,,,,,,,,施設にお問い合わせください
遠鉄グループ保育園　えきまえ,エンテツグループホイクエンエキマエ,,中区,430-0934,浜松市中区千歳町91-1 1階,34.703641,137.73102,(053)457-5210,http://entetsu-hoikuen.com/information/,（株）遠鉄百貨店,40人,産休明け,小学校就学前まで,年中無休,7:30,20:30,,,,,,,,,," 35,000円"