施設名称,郵便番号,所在地,所在地2,電話,緯度,経度,NO,区
南の星幼稚園,4300837,浜松市南区西島町1148-1,,053-425-2836,34.662615,137.768259,1,南区
和田幼稚園,4350017,浜松市東区薬師町291,,053-421-2942,34.725429,137.783205,2,東区
与進幼稚園,4350051,浜松市東区市野町2404-1,,053-421-1442,34.741753,137.770641,3,東区
豊西幼稚園,4313102,浜松市東区豊西町1551,,053-434-1259,34.767297,137.804187,4,東区
笠井幼稚園,4313107,浜松市東区笠井町478-1,,053-434-1205,34.770869,137.795206,5,東区
中ノ町幼稚園,4350004,浜松市東区中野町427-1,,053-421-3873,34.730183,137.793135,6,東区
芳川幼稚園,4300813,浜松市南区芳川町190,,053-461-5642,34.693027,137.765301,7,南区
花川幼稚園,4338109,浜松市中区花川町1908-1,,053-436-1209,34.774195,137.687348,8,中区
豊岡幼稚園,4338103,浜松市北区豊岡町22,,053-436-2155,34.786960,137.719417,9,北区
三方原幼稚園,4338105,浜松市北区三方原町284-7,,053-436-2516,34.774587,137.710829,10,北区
初生幼稚園,4338112,浜松市北区初生町991,,053-436-2106,34.768847,137.725965,11,北区
白脇幼稚園,4300841,浜松市南区寺脇町230,,053-441-0531,34.681906,137.742686,12,南区
飯田幼稚園,4350028,浜松市南区飯田町1014,,053-461-9555,34.703687,137.773298,13,南区
神久呂幼稚園,4328005,浜松市西区神ケ谷町7888,,053-485-8548,34.726972,137.670701,14,西区
万斛幼稚園,4313111,浜松市東区中郡町895,,053-434-0049,34.768381,137.773599,15,東区
有玉幼稚園,4313122,浜松市東区有玉南町585,,053-434-0263,34.755815,137.750972,16,東区
橋爪幼稚園,4313115,浜松市東区西ケ崎町1067,,053-434-0329,34.773653,137.767599,17,東区
伊佐見幼稚園,4311111,浜松市西区伊左地町5,,053-486-0076,34.744218,137.655692,18,西区
和地幼稚園,4311115,浜松市西区和地町1833-2,,053-486-0056,34.763532,137.653213,19,西区
北庄内幼稚園,4311209,浜松市西区舘山寺町110-6,,053-487-0553,34.761254,137.627397,20,西区
村櫛幼稚園,4311207,浜松市西区村櫛町3195,,053-489-2250,34.726134,137.591448,21,西区
可美幼稚園,4328062,浜松市南区増楽町1199,,053-447-0321,34.689090,137.694010,22,南区
舞阪幼稚園,4310211,浜松市西区舞阪町舞阪2668-33,,053-592-7600,34.679972,137.610317,23,西区
雄踏幼稚園,4310102,浜松市西区雄踏町宇布見7406,,053-592-3000,34.706721,137.630981,24,西区
小松幼稚園,4340042,浜松市浜北区小松2400,,053-586-2002,34.788676,137.771697,25,浜北区
平口幼稚園,4340041,浜松市浜北区平口2583,,053-586-2463,34.793847,137.767255,26,浜北区
北浜南幼稚園,4340035,浜松市浜北区寺島2436-3,,053-586-2993,34.780363,137.793363,27,浜北区
北浜中央幼稚園,4340033,浜松市浜北区西美薗1624-1,,053-586-2992,34.801134,137.799183,28,浜北区
北浜北幼稚園,4340031,浜松市浜北区小林1522-2,,053-586-2092,34.810322,137.791619,29,浜北区
北浜東幼稚園,4340025,浜松市浜北区善地1546,,053-586-2001,34.791664,137.810140,30,浜北区
中瀬幼稚園,4340012,浜松市浜北区中瀬3531,,053-588-7375,34.825020,137.812245,31,浜北区
上島幼稚園,4340011,浜松市浜北区上島217,,053-583-2709,34.847064,137.817058,32,浜北区
赤佐幼稚園,4340015,浜松市浜北区於呂3524-68,,053-588-7591,34.840254,137.800843,33,浜北区
赤佐西幼稚園,4340015,浜松市浜北区於呂2235,,053-588-1013,34.831710,137.792133,34,浜北区
宮口幼稚園,4340004,浜松市浜北区宮口1526-1,,053-589-8552,34.824508,137.771102,35,浜北区
新原幼稚園,4340003,浜松市浜北区新原2315,,053-589-8413,34.817048,137.781644,36,浜北区
二俣幼稚園,4313314,浜松市天竜区二俣町二俣158-2,,053-925-2077,34.865864,137.821221,37,天竜区
光明幼稚園,4313303,浜松市天竜区山東2314,,053-925-2514,34.879705,137.829383,38,天竜区
竜川幼稚園,4313764,浜松市天竜区横山町547,,053-923-0735,34.942974,137.817268,39,天竜区
熊幼稚園,4313641,浜松市天竜区熊2153,,053-929-0133,34.959508,137.732949,40,天竜区
上阿多古幼稚園,4313532,浜松市天竜区西藤平1266-1,,053-928-0030,34.911953,137.763880,41,天竜区
下阿多古幼稚園,4313426,浜松市天竜区両島762,,053-925-6755,34.882928,137.792076,42,天竜区
犬居幼稚園,4370625,浜松市天竜区春野町堀之内989-1,,053-985-0821,34.958860,137.898197,43,天竜区
気田幼稚園,4370605,浜松市天竜区春野町気田624,,053-989-0201,35.004315,137.906709,44,天竜区
浦川幼稚園,4313906,浜松市天竜区佐久間町浦川2799,,053-967-3803,35.052205,137.760943,45,天竜区
佐久間幼稚園,4313905,浜松市天竜区佐久間町半場47,,053-965-0260,35.087518,137.802187,46,天竜区
西気賀幼稚園,4311305,浜松市北区細江町気賀10052-4,,053-523-1149,34.803195,137.623369,47,北区
伊目幼稚園,4311305,浜松市北区細江町気賀3207-1,,053-523-1197,34.787337,137.642771,48,北区
中川幼稚園,4311304,浜松市北区細江町中川2418-2,,053-523-1364,34.809130,137.678457,49,北区
中央幼稚園,4311305,浜松市北区細江町気賀304,,053-523-0135,34.805873,137.651106,50,北区
高台幼稚園,4311304,浜松市北区細江町中川7172-701,,053-523-0879,34.794164,137.685429,51,北区
引佐幼稚園,4312216,浜松市北区神宮寺町8-48,,053-542-1933,34.831332,137.671005,52,北区
金指幼稚園,4312213,浜松市北区引佐町金指862-3,,053-542-2115,34.822953,137.683036,53,北区
奥山幼稚園,4312224,浜松市北区引佐町奥山1110-1,,053-543-0158,34.845846,137.629730,54,北区
伊平幼稚園,4312205,浜松市北区引佐町伊平778-1,,053-544-0718,34.864972,137.661065,55,北区
引佐北部みさと幼稚園,4312536,浜松市北区引佐町田沢432-1,,053-544-0739,34.897821,137.656363,56,北区
尾奈幼稚園,4311424,浜松市北区三ヶ日町下尾奈1461-1,,053-524-0011,34.784836,137.538071,57,北区
大崎幼稚園,4311403,浜松市北区三ヶ日町大崎1665-20,,053-526-0517,34.772356,137.563452,58,北区
平山幼稚園,4311417,浜松市北区三ヶ日町平山223-1,,053-524-0608,34.825425,137.536848,59,北区
内野幼稚園,4340044,浜松市浜北区内野1648-1,,053-586-4777,34.783310,137.756409,60,浜北区
